,id,title,content,cluster
93911,104584,合邦 107年6月營收1.84億、年減0.82%,"合邦(6103)6月營收資料(單位千元) 當月本年累計營收183,605950,672去年同期185,132894,194增減-1,52756,478增減百分比-0.82%6.32%",6
93931,104605,華建 107年6月營收567萬、年增616.92%,"華建(2530)6月營收資料(單位千元) 當月本年累計營收5,678537,828去年同期79260,664增減4,886477,164增減百分比616.92%786.57% 備註:本年度出售房地收入較去年度增加478,653仟元,本年度租金收入較去年度同期減少1,489仟元.",6
93937,104611,營收：華建(2530)6月營收567萬元，月增率-97.95%，年增率616.92%,華建(2530)自結107年6月營收567萬8000元，和上個月的2億7742萬元相較，減少金額為2億7174萬2000元，較上月減少97.95%，和106年同月的79萬2000元相較，增加金額為488萬6000元，較106年同月增加616.92%。<BR> 累計107年1-6月營收5億3782萬8000元，和106年同期的6066萬4000元相較，增加金額為4億7716萬4000元，較106年同期增加786.57%。,6
93944,104618,清惠 107年6月營收927萬、年減35.50%,"清惠(5259)6月營收資料(單位千元) 當月本年累計營收9,270100,188去年同期14,371107,170增減-5,101-6,982增減百分比-35.50%-6.51%",6
94033,104707,營收：友通資訊(2397)6月營收5億1707萬元，月增率-5.11%，年增率37.67%,友通資訊(2397)自結107年6月營收5億1707萬1000元，和上個月的5億4495萬8000元相較，減少金額為2788萬7000元，較上月減少5.11%，和106年同月的3億7558萬6000元相較，增加金額為1億4148萬5000元，較106年同月增加37.67%。<BR> 累計107年1-6月營收25億8629萬5000元，和106年同期的19億1431萬7000元相較，增加金額為6億7197萬8000元，較106年同期增加35.10%。,6
94047,104721,友通 107年6月營收5.17億、年增37.67%,"友通(2397)6月營收資料(單位千元) 當月本年累計營收517,0712,586,295去年同期375,5861,914,317增減141,485671,978增減百分比37.67%35.10%",6
94055,104729,營收：聚陽(1477)6月營收19億7729萬元，月增率34.49%，年增率2.95%,聚陽(1477)自結107年6月營收19億7729萬2000元，和上個月的14億7016萬4000元相較，增加金額為5億712萬8000元，較上月增加34.49%，和106年同月的19億2067萬1000元相較，增加金額為5662萬1000元，較106年同月增加2.95%。<BR> 累計107年1-6月營收101億9632萬8000元，和106年同期的102億1819萬3000元相較，減少金額為2186萬5000元，較106年同期減少0.21%。,6
94066,104740,聚陽 107年6月營收19.77億、年增2.95%,"聚陽(1477)6月營收資料(單位千元) 當月本年累計營收1,977,29210,196,328去年同期1,920,67110,218,193增減56,621-21,865增減百分比2.95%-0.21%",6
94071,104745,營收：台耀(4746)6月營收2億6313萬元，月增率14.53%，年增率21.68%,台耀(4746)自結107年6月營收2億6313萬3000元，和上個月的2億2974萬8000元相較，增加金額為3338萬5000元，較上月增加14.53%，和106年同月的2億1625萬7000元相較，增加金額為4687萬6000元，較106年同月增加21.68%。<BR> 累計107年1-6月營收13億558萬元，和106年同期的12億4465萬8000元相較，增加金額為6092萬2000元，較106年同期增加4.89%。,6
94073,104747,台耀 107年6月營收2.63億、年增21.68%,"台耀(4746)6月營收資料(單位千元) 當月本年累計營收263,1331,305,580去年同期216,2571,244,658增減46,87660,922增減百分比21.68%4.89%",6
94089,104763,營收：金山電(8042)6月營收3億3735萬元，月增率1.03%，年增率30.47%,金山電(8042)自結107年6月營收3億3735萬9000元，和上個月的3億3389萬1000元相較，增加金額為346萬8000元，較上月增加1.03%，和106年同月的2億5857萬7000元相較，增加金額為7878萬2000元，較106年同月增加30.47%。<BR> 累計107年1-6月營收17億9416萬9000元，和106年同期的15億9232萬9000元相較，增加金額為2億184萬元，較106年同期增加12.68%。,6
94090,104764,營收：綠能(3519)6月營收2億4592萬元，月增率-54.27%，年增率-70.08%,綠能(3519)自結107年6月營收2億4592萬元，和上個月的5億3787萬9000元相較，減少金額為2億9195萬9000元，較上月減少54.27%，和106年同月的8億2197萬7000元相較，減少金額為5億7605萬7000元，較106年同月減少70.08%。<BR> 累計107年1-6月營收43億4478萬3000元，和106年同期的52億894萬4000元相較，減少金額為8億6416萬1000元，較106年同期減少16.59%。,6
94092,104766,綠能 107年6月營收2.46億、年減70.08%,"綠能(3519)6月營收資料(單位千元) <BR> 當月 本年累計 營收 245,920 4,344,783 去年同期 821,977 5,208,944 增減 -576,057 -864,161 增減百分比 -70.08% -16.59% 備註:中國政府針對太陽能產業推出「531 新政」後，全球市場急凍，綠能亦深受影響，晶片及晶碇業務價量遽跌，營收不如預期。",6
94110,104784,台星科 107年6月營收3.04億、年增26.17%,"台星科(3265)6月營收資料(單位千元) <BR> 當月 本年累計 營收 304,472 1,592,726 去年同期 241,321 1,225,616 增減 63,151 367,110 增減百分比 26.17% 29.95%",6
94128,104802,營收：台星科(3265)6月營收3億447萬元，月增率-2.30%，年增率26.17%,台星科(3265)自結107年6月營收3億0447萬2000元，和上個月的3億1164萬4000元相較，減少金額為717萬2000元，較上月減少2.30%，和106年同月的2億4132萬1000元相較，增加金額為6315萬1000元，較106年同月增加26.17%。<BR> 累計107年1-6月營收15億9272萬6000元，和106年同期的12億2561萬6000元相較，增加金額為3億6711萬元，較106年同期增加29.95%。,6
94129,104803,營收：IET-KY(4971)6月營收5126萬元，月增率60.70%，年增率-42.04%,IET-KY(4971)自結107年6月營收5126萬元，較上月增加60.70%，較106年同月下滑42.04%。<BR> 累計107年1-6月營收3億2331萬元，和106年同期相較，衰退25.34%。,6
94131,104805,營收：鮮活果汁-KY(1256)6月營收3億2619萬元，月增率-0.47%，年增率10.13%,鮮活果汁-KY(1256)自結107年6月營收3億2619萬7000元，較上月減少0.47%，較106年同月增加10.13%；累計107年1-6月營收16億3471萬6000元，較106年同期增加14.95%。,6
94134,104808,IET-KY 107年6月營收5126萬、年減42.04%,"IET-KY(4971)6月營收資料(單位千元) <BR> 當月 本年累計 營收 51,263 323,314 去年同期 88,446 433,072 增減 -37,183 -109,758 增減百分比 -42.04% -25.34%",6
94150,104824,義隆 107年6月營收7.28億、年增10.75%,"義隆(2458)6月營收資料(單位千元) <BR> 當月 本年累計 營收 727,538 3,883,144 去年同期 656,917 3,456,087 增減 70,621 427,057 增減百分比 10.75% 12.36%",6
94151,104825,創業家 107年6月營收4.16億、年增8.50%,"創業家(8477)6月營收資料(單位千元) <BR> 當月 本年累計 營收 416,057 2,448,682 去年同期 383,479 1,720,381 增減 32,578 728,301 增減百分比 8.50% 42.33%",6
94158,104832,營收：京元電子(2449)6月營收17億1619萬元，月增率0.16%，年增率4.50%,京元電子(2449)自結107年6月營收17億1619萬6000元，和上個月的17億1329萬5000元相較，增加金額為290萬1000元，較上月增加0.16%，和106年同月的16億4235萬3000元相較，增加金額為7384萬3000元，較106年同月增加4.50%。<BR> 累計107年1-6月營收96億2105萬6000元，和106年同期的97億1155萬6000元相較，減少金額為9050萬元，較106年同期減少0.93%。,6
94163,104837,京元電子 107年6月營收17.16億、年增4.50%,"京元電子(2449)6月營收資料(單位千元) 當月本年累計營收1,716,1969,621,056去年同期1,642,3539,711,556增減73,843-90,500增減百分比4.50%-0.93%",6
94164,104838,健椿 107年6月營收1.14億、年增32.58%,"健椿(4561)6月營收資料(單位千元) 當月本年累計營收113,839548,328去年同期85,865428,039增減27,974120,289增減百分比32.58%28.10%",6
94171,104845,鮮活果汁-KY 107年6月營收3.26億、年增10.13%,"鮮活果汁-KY(1256)6月營收資料(單位千元) <BR> 當月 本年累計 營收 326,197 1,634,716 去年同期 296,192 1,422,171 增減 30,005 212,545 增減百分比 10.13% 14.95%",6
